name,imgUri,price,description
Thunderbird,http://dummyimage.com/147x100.png/5fa2dd/ffffff,1376532,Oth diabetes w prolif diabetic retinopathy w macular edema
Corolla,http://dummyimage.com/116x100.png/cc0000/ffffff,2476520,Food in bronchus
Mulsanne,http://dummyimage.com/141x100.png/dddddd/000000,1459551,"Nondisp fx of lateral condyle of r femr, 7thH"
Echo,http://dummyimage.com/217x100.png/ff4444/ffffff,2209661,"Other streptococcal arthritis, right hip"
Rodeo,http://dummyimage.com/110x100.png/cc0000/ffffff,2108305,Oth spon disrupt of anterior cruciate ligament of left knee
Continental,http://dummyimage.com/199x100.png/5fa2dd/ffffff,1000362,"Pnctr w fb of abd wall, right low q w penet perit cav, subs"
Caravan,http://dummyimage.com/120x100.png/5fa2dd/ffffff,2850293,Contusion of finger with damage to nail
Sienna,http://dummyimage.com/193x100.png/5fa2dd/ffffff,2835842,"Corros unsp deg of unsp site unsp low limb, ex ank/ft, init"
Z4 M,http://dummyimage.com/175x100.png/5fa2dd/ffffff,1034076,"Disp fx of prox phalanx of unsp fngr, subs for fx w malunion"
Elise,http://dummyimage.com/160x100.png/ff4444/ffffff,1777438,Corrosion of unspecified degree of ear
Passat,http://dummyimage.com/241x100.png/dddddd/000000,2870755,"Nondisp fx of nk of r rad, 7thM"
Express 2500,http://dummyimage.com/126x100.png/ff4444/ffffff,1776638,"Hypospadias, penoscrotal"
458 Italia,http://dummyimage.com/116x100.png/cc0000/ffffff,1264971,"Poisoning by antipruritics, assault, initial encounter"
4Runner,http://dummyimage.com/127x100.png/5fa2dd/ffffff,1344533,"Poisoning by antimycobacterial drugs, assault, subs encntr"
Armada,http://dummyimage.com/205x100.png/dddddd/000000,2439514,Insect bite (nonvenomous) of left thumb
Alero,http://dummyimage.com/214x100.png/ff4444/ffffff,1752369,Corrosion of third degree of trunk
Daewoo Lacetti,http://dummyimage.com/195x100.png/ff4444/ffffff,2034410,Granuloma of left lacrimal passage
Silhouette,http://dummyimage.com/150x100.png/dddddd/000000,1411733,Encounter for adjustment or removal of left breast implant
Tahoe,http://dummyimage.com/217x100.png/ff4444/ffffff,2503589,"Nondisp fx of 3rd metatarsal bone, r ft, 7thD"
Celica,http://dummyimage.com/202x100.png/ff4444/ffffff,2613224,"Nondisp fx of neck of fifth metacarpal bone, right hand"
Continental Super,http://dummyimage.com/193x100.png/dddddd/000000,2851914,Lattice degeneration of retina
xB,http://dummyimage.com/204x100.png/cc0000/ffffff,1331181,"Periprosth fracture around internal prosth l knee jt, init"
Mighty Max Macro,http://dummyimage.com/102x100.png/dddddd/000000,2463194,"Other physeal fracture of lower end of left tibia, sequela"
E250,http://dummyimage.com/203x100.png/dddddd/000000,1408558,"Supervision of high risk pregnancy, unsp, unsp trimester"
Mustang,http://dummyimage.com/176x100.png/5fa2dd/ffffff,2075177,Cluster headaches and oth trigeminal autonm cephalgias (TAC)
S5,http://dummyimage.com/186x100.png/dddddd/000000,1107667,"Other injury of unspecified intra-abdominal organ, sequela"
Optima,http://dummyimage.com/186x100.png/ff4444/ffffff,1328455,Other injury due to accident to watercraft
Sierra 2500,http://dummyimage.com/123x100.png/dddddd/000000,2420059,Superficial frostbite of right hand
300ZX,http://dummyimage.com/155x100.png/dddddd/000000,2101163,"Partial traumatic amputation at knee level, unsp lower leg"
Mazda3,http://dummyimage.com/173x100.png/5fa2dd/ffffff,1189164,"Nondisp fx of mid 3rd of navic bone of l wrs, 7thK"
Esprit,http://dummyimage.com/201x100.png/cc0000/ffffff,1001169,Other endocrine disorders
M,http://dummyimage.com/184x100.png/cc0000/ffffff,1889788,Unsp mtrcy rider injured in collision w ped/anml nontraf
4Runner,http://dummyimage.com/182x100.png/5fa2dd/ffffff,2498870,"Displaced avulsion fracture of left ilium, init for opn fx"
GT,http://dummyimage.com/106x100.png/cc0000/ffffff,1302353,"Lacerat blood vessels at lower leg level, left leg, subs"
Sierra,http://dummyimage.com/135x100.png/5fa2dd/ffffff,1954409,39 weeks gestation of pregnancy
Ram 2500,http://dummyimage.com/116x100.png/cc0000/ffffff,2120885,"Rheumatoid bursitis, wrist"
S5,http://dummyimage.com/138x100.png/dddddd/000000,2203690,"Fracture of unspecified phalanx of left thumb, sequela"
Galant,http://dummyimage.com/188x100.png/5fa2dd/ffffff,1101879,"Poisoning by oth nonopio analges/antipyret, NEC, acc, init"
1500 Club Coupe,http://dummyimage.com/183x100.png/ff4444/ffffff,1738281,"Inj lumbar, sacral and pelvic sympathetic nerves, sequela"
SL-Class,http://dummyimage.com/183x100.png/5fa2dd/ffffff,2607624,Malignant neoplasm of other connective and soft tissue
Tacoma,http://dummyimage.com/137x100.png/dddddd/000000,2263908,"Oth disrd of synovium and tendon, unspecified shoulder"
Mazda3,http://dummyimage.com/194x100.png/ff4444/ffffff,2952352,"Decreased fetal movements, second trimester, fetus 3"
LX,http://dummyimage.com/235x100.png/dddddd/000000,2679605,"Superficial foreign body of penis, subsequent encounter"
TT,http://dummyimage.com/186x100.png/ff4444/ffffff,2926337,Traumatic amputation of ankle and foot
Bonneville,http://dummyimage.com/166x100.png/5fa2dd/ffffff,1903400,Open bite of r bk wl of thorax w/o penet thoracic cavity
Relay,http://dummyimage.com/207x100.png/ff4444/ffffff,2367878,"Insect bite (nonvenomous) of right shoulder, sequela"
Swift,http://dummyimage.com/244x100.png/5fa2dd/ffffff,1601200,"Placenta accreta, unspecified trimester"
F150,http://dummyimage.com/101x100.png/ff4444/ffffff,1889969,"Oth injury of unspecified vertebral artery, subs encntr"
TundraMax,http://dummyimage.com/108x100.png/dddddd/000000,2914439,"Toxic effect of unsp corrosive substance, self-harm, init"
Malibu,http://dummyimage.com/146x100.png/dddddd/000000,1337801,"Underdosing of keratolyt/keratplst/hair trmt drug, sequela"
Solara,http://dummyimage.com/140x100.png/5fa2dd/ffffff,1836138,Varicose veins of right lower extremity w ulcer of unsp site
300M,http://dummyimage.com/100x100.png/ff4444/ffffff,1945195,"Cystocele, midline"
Civic Si,http://dummyimage.com/206x100.png/cc0000/ffffff,2374880,Nephrogenic diabetes insipidus
Santa Fe,http://dummyimage.com/249x100.png/5fa2dd/ffffff,1703820,"Osteophyte, wrist"
S40,http://dummyimage.com/187x100.png/dddddd/000000,2439380,"Sltr-haris Type IV physl fx lower end humer, left arm, init"
Tribute,http://dummyimage.com/214x100.png/dddddd/000000,2285332,"Other assault by drowning and submersion, sequela"
M Roadster,http://dummyimage.com/137x100.png/cc0000/ffffff,2073417,"Disp fx of less tuberosity of l humer, 7thK"
Aurora,http://dummyimage.com/201x100.png/5fa2dd/ffffff,2970204,"Hematoma of pinna, unspecified ear"
V70,http://dummyimage.com/237x100.png/5fa2dd/ffffff,2425075,"Disp fx of base of 5th MC bone, r hand, 7thD"
RX,http://dummyimage.com/199x100.png/cc0000/ffffff,1384320,Radiohumeral (joint) sprain
Aurora,http://dummyimage.com/211x100.png/dddddd/000000,1599162,"Air embolism (traumatic), subsequent encounter"
MX-5,http://dummyimage.com/108x100.png/dddddd/000000,1412261,"Driver injured in collision w oth mv nontraf, sequela"
S-Series,http://dummyimage.com/210x100.png/cc0000/ffffff,2923070,"Disp fx of mid 3rd of navic bone of unsp wrs, 7thP"
6000,http://dummyimage.com/233x100.png/5fa2dd/ffffff,2620640,"Dislocation of C4/C5 cervical vertebrae, sequela"
TundraMax,http://dummyimage.com/249x100.png/dddddd/000000,1097360,"Lacerat unsp blood vessel at forarm lv, right arm, sequela"
Civic,http://dummyimage.com/245x100.png/ff4444/ffffff,2657477,"Fracture of one rib, left side, sequela"
80/90,http://dummyimage.com/178x100.png/dddddd/000000,1507423,"Fx unsp carpal bone, unsp wrist, subs for fx w malunion"
Insight,http://dummyimage.com/115x100.png/dddddd/000000,2988152,Monteggia's fracture of right ulna
300TE,http://dummyimage.com/240x100.png/cc0000/ffffff,2276026,"Burn of second degree of right shoulder, initial encounter"
S6,http://dummyimage.com/110x100.png/dddddd/000000,1352430,"Supervision of elderly primigravida, second trimester"
TundraMax,http://dummyimage.com/226x100.png/5fa2dd/ffffff,2111526,"Nondisp commnt fx shaft of unsp tibia, 7thH"
V12 Vantage,http://dummyimage.com/137x100.png/dddddd/000000,1098117,"Unsp inj msl/tnd lng extn msl toe at ank/ft lev, l ft, subs"
Firebird Trans Am,http://dummyimage.com/120x100.png/ff4444/ffffff,1674833,"Lead-induced gout, left hand"
Type 2,http://dummyimage.com/149x100.png/5fa2dd/ffffff,1608737,Chalazion left upper eyelid
Ascender,http://dummyimage.com/203x100.png/cc0000/ffffff,2813338,"Oth fx shaft of r fibula, 7thJ"
4Runner,http://dummyimage.com/144x100.png/cc0000/ffffff,2214676,"Poisoning by antithyroid drugs, accidental, init"
Caliber,http://dummyimage.com/198x100.png/5fa2dd/ffffff,1223192,Heat syncope
Mini,http://dummyimage.com/105x100.png/dddddd/000000,1873355,Minor laceration of right kidney
Tempo,http://dummyimage.com/198x100.png/cc0000/ffffff,2008928,Non-prs chr ulcer of right heel and midft w fat layer expos
XLR,http://dummyimage.com/186x100.png/ff4444/ffffff,1697258,"Poisoning by saline and osmotic laxatives, acc, sequela"
Quest,http://dummyimage.com/191x100.png/cc0000/ffffff,2383058,"Displ oblique fx shaft of l tibia, 7thE"
325,http://dummyimage.com/233x100.png/ff4444/ffffff,1900040,"Contracture, unspecified knee"
E350,http://dummyimage.com/224x100.png/5fa2dd/ffffff,2201668,"Open bite of other specified part of neck, initial encounter"
del Sol,http://dummyimage.com/113x100.png/5fa2dd/ffffff,1753524,"Oth tear of medial meniscus, current injury, left knee, init"
Express 3500,http://dummyimage.com/237x100.png/ff4444/ffffff,1949009,Acquired atrophy of ovary
Rainier,http://dummyimage.com/167x100.png/dddddd/000000,1492137,"Laceration of ovary, bilateral, sequela"
Grand Caravan,http://dummyimage.com/202x100.png/5fa2dd/ffffff,2179399,"Fall from, out of or through bridge"
Gran Sport,http://dummyimage.com/198x100.png/dddddd/000000,2429126,Exudative retinopathy
Previa,http://dummyimage.com/125x100.png/5fa2dd/ffffff,2769305,"Nondisp fx of neck of first metacarpal bone, left hand, init"
Previa,http://dummyimage.com/200x100.png/cc0000/ffffff,1411953,Osteitis deformans of hand
M,http://dummyimage.com/223x100.png/5fa2dd/ffffff,1932896,"Disp fx of low epiphy (separation) of unsp femr, 7thF"
Malibu,http://dummyimage.com/185x100.png/ff4444/ffffff,2270653,"Glaucoma secondary to eye inflam, right eye, mild stage"
Legacy,http://dummyimage.com/124x100.png/cc0000/ffffff,1348404,"Airgun discharge, undetermined intent, sequela"
Mustang,http://dummyimage.com/248x100.png/ff4444/ffffff,1840084,"Diabetes with stable prolif diabetic retinopathy, bilateral"
C70,http://dummyimage.com/167x100.png/ff4444/ffffff,2379139,"Decreased fetal movements, second trimester, fetus 2"
Range Rover,http://dummyimage.com/149x100.png/dddddd/000000,1647649,"Nondisp fx of prox phalanx of l thm, subs for fx w malunion"
6 Series,http://dummyimage.com/211x100.png/5fa2dd/ffffff,2122595,"Insect bite (nonvenomous), left great toe, sequela"
Mentor,http://dummyimage.com/243x100.png/ff4444/ffffff,2424423,"Unspecified sprain of right index finger, subs encntr"
Sterling,http://dummyimage.com/101x100.png/cc0000/ffffff,1122375,Transient acquired pure red cell aplasia
Savana 2500,http://dummyimage.com/206x100.png/dddddd/000000,1874074,"Subluxation of tarsal joint of right foot, initial encounter"
PT Cruiser,http://dummyimage.com/117x100.png/dddddd/000000,2423111,"Superficial foreign body, right lesser toe(s)"
Montana,http://dummyimage.com/180x100.png/cc0000/ffffff,2979959,"Corrosion of second degree of right wrist, subs encntr"
Quattroporte,http://dummyimage.com/153x100.png/cc0000/ffffff,2857801,"Displ artic fx head of unsp femr, 7thE"
Sonoma,http://dummyimage.com/208x100.png/5fa2dd/ffffff,2820131,Other subluxation of right patella
XJ Series,http://dummyimage.com/113x100.png/5fa2dd/ffffff,2897373,"Cortical age-related cataract, unspecified eye"
Pajero,http://dummyimage.com/233x100.png/5fa2dd/ffffff,1594497,Other schizoaffective disorders
GT500,http://dummyimage.com/235x100.png/ff4444/ffffff,1320368,Frostbite with tissue necrosis of arm
57S,http://dummyimage.com/206x100.png/ff4444/ffffff,2056553,"Minor laceration of unsp pulmonary blood vessels, sequela"
Stylus,http://dummyimage.com/176x100.png/cc0000/ffffff,2281520,"Toxic effect of oth tobacco and nicotine, undetermined, subs"
Defender,http://dummyimage.com/216x100.png/cc0000/ffffff,2735935,"Heat exhaustion, unspecified, initial encounter"
Mirage,http://dummyimage.com/124x100.png/ff4444/ffffff,2745752,"Displ commnt fx shaft of l tibia, 7thR"
S80,http://dummyimage.com/128x100.png/cc0000/ffffff,1884623,"Unsp juvenile rheumatoid arthritis, right ankle and foot"
G-Class,http://dummyimage.com/223x100.png/ff4444/ffffff,1194117,"Partial traum amp of two or more left lesser toes, sequela"
Raider,http://dummyimage.com/192x100.png/ff4444/ffffff,2230264,Open wound of toe without damage to nail
Trooper,http://dummyimage.com/108x100.png/dddddd/000000,2753506,"Acute emblsm and thombos of superfic veins of up extrem, bi"
Ascender,http://dummyimage.com/189x100.png/dddddd/000000,1461450,"Path fx in oth disease, pelvis, subs for fx w delay heal"
Corvette,http://dummyimage.com/130x100.png/dddddd/000000,2487673,"Ischiocapsular ligament sprain of right hip, init encntr"
Equator,http://dummyimage.com/211x100.png/cc0000/ffffff,1012943,"Laceration of blood vessel of left middle finger, sequela"
Edge,http://dummyimage.com/233x100.png/ff4444/ffffff,1649277,Complications associated with artificial fertilization
Grand Prix,http://dummyimage.com/118x100.png/cc0000/ffffff,1058236,"Injury of tibial nerve at lower leg level, unsp leg, subs"
Neon,http://dummyimage.com/231x100.png/ff4444/ffffff,1504880,"Nondisp fx of low epiphy (separation) of r femr, 7thG"
Silverado,http://dummyimage.com/154x100.png/dddddd/000000,1679893,"Open bite of left breast, sequela"
944,http://dummyimage.com/148x100.png/ff4444/ffffff,2266480,"Assault by other bodily force, subsequent encounter"
Sephia,http://dummyimage.com/225x100.png/ff4444/ffffff,1804682,"Other specified fracture of left acetabulum, sequela"
Taurus,http://dummyimage.com/119x100.png/ff4444/ffffff,2596683,"Burn of second degree of left palm, subsequent encounter"
Ram Wagon B350,http://dummyimage.com/152x100.png/dddddd/000000,1139441,Activities involving caregiving
SX4,http://dummyimage.com/188x100.png/dddddd/000000,2432284,"Pedl cyc driver injured in clsn w 2/3-whl mv nontraf, subs"
Fiesta,http://dummyimage.com/149x100.png/ff4444/ffffff,2284577,Varicose veins of unsp lower extremity w ulcer of unsp site
Grand Am,http://dummyimage.com/233x100.png/cc0000/ffffff,2070469,"Burn of second degree of unspecified knee, initial encounter"
xD,http://dummyimage.com/165x100.png/5fa2dd/ffffff,1770911,"Gestational diabetes mellitus in pregnancy, diet controlled"
Prelude,http://dummyimage.com/217x100.png/ff4444/ffffff,1528244,Other pre-existing diabetes mellitus in the puerperium
Wrangler,http://dummyimage.com/199x100.png/5fa2dd/ffffff,1225968,"Other chondrocalcinosis, multiple sites"
Frontier,http://dummyimage.com/247x100.png/cc0000/ffffff,1479026,"Monocular exotropia with V pattern, left eye"
Rabbit,http://dummyimage.com/149x100.png/dddddd/000000,1233550,"Burn of unsp degree of unspecified scapular region, sequela"
Escort,http://dummyimage.com/171x100.png/ff4444/ffffff,1152466,"Unsp physeal fracture of upper end of left femur, sequela"
Eurovan,http://dummyimage.com/163x100.png/ff4444/ffffff,2943603,"Nondisp fx of med condyle of unsp tibia, 7thK"
Corsica,http://dummyimage.com/129x100.png/ff4444/ffffff,2417265,Nondisplaced fracture of distal phalanx of other finger
9000,http://dummyimage.com/113x100.png/5fa2dd/ffffff,1698330,"Nondisp fx of dist phalanx of l thm, 7thD"
Suburban 2500,http://dummyimage.com/210x100.png/dddddd/000000,1722498,Toxic effect of venom of tarantula
C8 Laviolette,http://dummyimage.com/122x100.png/5fa2dd/ffffff,1150615,"Disp fx of dist phalanx of l rng fngr, 7thG"
Ram Van B250,http://dummyimage.com/220x100.png/5fa2dd/ffffff,1007235,"Corrosion of first degree of chin, initial encounter"
Continental,http://dummyimage.com/158x100.png/ff4444/ffffff,2105992,"Unsp fx head of l femr, 7thR"
GTO,http://dummyimage.com/129x100.png/cc0000/ffffff,1147485,Oth diseases of the bld/bld-form org/immun mechnsm comp preg
Skylark,http://dummyimage.com/222x100.png/ff4444/ffffff,1153015,Burn of unspecified degree of right wrist
Ram 2500,http://dummyimage.com/141x100.png/dddddd/000000,2588224,"Displaced transverse fx unsp acetabulum, init for opn fx"
E-Series,http://dummyimage.com/143x100.png/cc0000/ffffff,1145624,"Unspecified injury of left foot, subsequent encounter"
Outback,http://dummyimage.com/121x100.png/5fa2dd/ffffff,2220216,"Nondisp fx of prox phalanx of r idx fngr, init for opn fx"
Voyager,http://dummyimage.com/250x100.png/cc0000/ffffff,2390412,Disp fx of olecran pro w intartic extension of unsp ulna
Maxima,http://dummyimage.com/153x100.png/ff4444/ffffff,1653495,"Other injury of superior mesenteric artery, init encntr"
Verano,http://dummyimage.com/165x100.png/5fa2dd/ffffff,2869074,Crushing injury of knee
Corvette,http://dummyimage.com/220x100.png/5fa2dd/ffffff,1288084,"Hemophthalmos, unspecified eye"
Cooper,http://dummyimage.com/171x100.png/dddddd/000000,1968255,"Contact with unspecified agricultural machinery, init encntr"
Versa,http://dummyimage.com/154x100.png/dddddd/000000,2237871,"Displ oblique fx shaft of r rad, 7thJ"
Eclipse,http://dummyimage.com/136x100.png/ff4444/ffffff,2292338,Congenital pes planus
M6,http://dummyimage.com/222x100.png/dddddd/000000,2027370,Encephalocele of other sites
E-Class,http://dummyimage.com/138x100.png/dddddd/000000,2313030,"Displ oblique fx shaft of unsp tibia, 7thD"
LR2,http://dummyimage.com/133x100.png/dddddd/000000,1551822,"Toxic effect of chloroform, undetermined"
Lanos,http://dummyimage.com/243x100.png/5fa2dd/ffffff,1734955,"Disp fx of less trochanter of unsp femr, 7thH"
Firebird,http://dummyimage.com/224x100.png/5fa2dd/ffffff,1920112,Dependence on aspirator
V70,http://dummyimage.com/248x100.png/5fa2dd/ffffff,1492473,Rheumatoid myopathy with rheumatoid arthritis of left elbow
Ram Van 3500,http://dummyimage.com/241x100.png/ff4444/ffffff,2228107,"Corrosion of unspecified degree of chin, subs encntr"
7 Series,http://dummyimage.com/235x100.png/ff4444/ffffff,1581745,"Keratomalacia, left eye"
Accent,http://dummyimage.com/133x100.png/dddddd/000000,1520027,"Sprain of left sternoclavicular joint, sequela"
F250,http://dummyimage.com/211x100.png/dddddd/000000,1689654,"Toxic effect of venom of venomous lizard, self-harm, subs"
CX-7,http://dummyimage.com/106x100.png/dddddd/000000,2470192,Unspecified injury of unspecified Achilles tendon
Grand Prix,http://dummyimage.com/220x100.png/5fa2dd/ffffff,1876802,"Poisoning by unsp hormone antagonists, undetermined, subs"
G-Class,http://dummyimage.com/128x100.png/cc0000/ffffff,2567138,Other diseases of stomach and duodenum
M3,http://dummyimage.com/244x100.png/ff4444/ffffff,1819770,"Displ commnt fx shaft of unsp tibia, 7thN"
RDX,http://dummyimage.com/144x100.png/5fa2dd/ffffff,2645651,"Strike wall of swimming pool causing oth injury, sequela"
Sorento,http://dummyimage.com/148x100.png/ff4444/ffffff,1076933,Other acquired epidermolysis bullosa
Fairlane,http://dummyimage.com/132x100.png/ff4444/ffffff,1614878,"Toxic effect of manganese and its compounds, assault"
Savana 3500,http://dummyimage.com/151x100.png/ff4444/ffffff,2724494,"Pnctr w fb of l rng fngr w/o damage to nail, sequela"
Montero,http://dummyimage.com/180x100.png/5fa2dd/ffffff,1404357,"Terrorism involving nuclear weapons, civilian injured, subs"
Tribute,http://dummyimage.com/188x100.png/dddddd/000000,2579852,Diffuse cholesteatosis
Escort,http://dummyimage.com/248x100.png/dddddd/000000,1536369,Oth paralytic syndrome following oth ntrm intcrn hemorrhage
Typ-1,http://dummyimage.com/110x100.png/ff4444/ffffff,1585670,"Pasngr in 3-whl mv inj in clsn w nonmtr veh nontraf, init"
Escort,http://dummyimage.com/146x100.png/5fa2dd/ffffff,2717302,"Laceration w/o fb of l idx fngr w damage to nail, sequela"
Milan,http://dummyimage.com/226x100.png/cc0000/ffffff,1618726,"Infective myositis, unspecified site"
TrailBlazer,http://dummyimage.com/128x100.png/ff4444/ffffff,2876539,Contusion of scrotum and testes
Esteem,http://dummyimage.com/204x100.png/ff4444/ffffff,1705918,"Tox eff of corrosv alkalis & alk-like substnc, slf-hrm, init"
Altima,http://dummyimage.com/118x100.png/5fa2dd/ffffff,1784832,Person injured while boarding or alighting from aircraft
S4,http://dummyimage.com/116x100.png/ff4444/ffffff,1617346,Oth transitory neonatal disord of calcium & magnesium metab
Maxima,http://dummyimage.com/150x100.png/5fa2dd/ffffff,2167740,"Charcot's joint, elbow"
Grand Prix,http://dummyimage.com/116x100.png/5fa2dd/ffffff,2751838,"Laceration of muscle and tendon of back wall of thorax, init"
S60,http://dummyimage.com/231x100.png/ff4444/ffffff,1080614,"Other specified injuries of external genitals, subs encntr"
Golf,http://dummyimage.com/168x100.png/ff4444/ffffff,2790611,"Galeazzi's fx r radius, subs for opn fx type I/2 w nonunion"
Th!nk,http://dummyimage.com/194x100.png/ff4444/ffffff,2696319,"Prem separtn of placenta w coag defect, unsp, first tri"
Econoline E150,http://dummyimage.com/246x100.png/ff4444/ffffff,1363862,"Person injured wh brd/alit from military vehicle, subs"
Ram 2500,http://dummyimage.com/226x100.png/5fa2dd/ffffff,2176355,"Contact with powered lawn mower, sequela"
S-Class,http://dummyimage.com/110x100.png/ff4444/ffffff,2611349,Chronic embolism and thombos unsp veins of r up extrem
CTS-V,http://dummyimage.com/136x100.png/cc0000/ffffff,1970656,"Non-pressure chronic ulcer of skin, not elsewhere classified"
Excel,http://dummyimage.com/206x100.png/5fa2dd/ffffff,1587465,"Sltr-haris Type III physeal fx lower end of humer, unsp arm"
Esteem,http://dummyimage.com/138x100.png/ff4444/ffffff,2738218,Pyogenic arthritis
Dakota Club,http://dummyimage.com/236x100.png/ff4444/ffffff,2874450,"Displ seg fx shaft of unsp femr, 7thM"
CX,http://dummyimage.com/236x100.png/5fa2dd/ffffff,1021766,"Adverse effect of antifungal antibiotics, systemically used"
Roadrunner,http://dummyimage.com/110x100.png/dddddd/000000,2245442,"Contracture of muscle, left hand"
G-Class,http://dummyimage.com/204x100.png/cc0000/ffffff,1186966,"Oth fx shaft of l femr, 7thR"
Trooper,http://dummyimage.com/113x100.png/5fa2dd/ffffff,2429806,"Strain flexor musc/fasc/tend unsp finger at wrs/hnd lv, sqla"
LeSabre,http://dummyimage.com/133x100.png/ff4444/ffffff,1120077,Subluxation and dislocation of acromioclavicular joint
X5,http://dummyimage.com/128x100.png/ff4444/ffffff,2055909,"Corrosion of second degree of unspecified elbow, sequela"
Terrain,http://dummyimage.com/134x100.png/5fa2dd/ffffff,1641719,"Passenger injured in collision w oth mv in traf, init"
A4,http://dummyimage.com/165x100.png/dddddd/000000,1965440,"Path fracture in oth disease, l foot, subs for fx w nonunion"
HED-5,http://dummyimage.com/125x100.png/cc0000/ffffff,2631037,"External constriction of right back wall of thorax, subs"
SLX,http://dummyimage.com/231x100.png/dddddd/000000,1788625,"Poisoning by antigonadtr/antiestr/antiandrg, NEC, acc, subs"
A8,http://dummyimage.com/135x100.png/dddddd/000000,2326000,Dvtrcli of lg int w/o perforation or abscess w bleeding
Amigo,http://dummyimage.com/124x100.png/ff4444/ffffff,1031145,"Corrosion of unsp degree of unspecified elbow, sequela"
Passport,http://dummyimage.com/163x100.png/ff4444/ffffff,1113809,Other dorsalgia
Yukon XL 1500,http://dummyimage.com/241x100.png/dddddd/000000,2968191,"Stress fracture, right tibia"
Envoy XL,http://dummyimage.com/206x100.png/dddddd/000000,1158162,"Poisoning by, adverse effect of and underdosing of vitamins"
Quattroporte,http://dummyimage.com/215x100.png/ff4444/ffffff,2445380,Displaced transverse fracture of shaft of left radius
CR-V,http://dummyimage.com/128x100.png/5fa2dd/ffffff,1413299,"Other articular cartilage disorders, left ankle"
Q,http://dummyimage.com/203x100.png/ff4444/ffffff,1087205,Burn of unspecified degree of unspecified knee
Sportage,http://dummyimage.com/162x100.png/dddddd/000000,1298259,"Oth injury of peroneal artery, unspecified leg, subs encntr"
6000,http://dummyimage.com/182x100.png/dddddd/000000,1758323,Burns of 80-89% of body surface w 70-79% third degree burns
Celica,http://dummyimage.com/155x100.png/5fa2dd/ffffff,1711942,"Unsp physeal fracture of lower end of unsp femur, init"
S60,http://dummyimage.com/234x100.png/ff4444/ffffff,2689443,Bacteremia
Continental,http://dummyimage.com/121x100.png/5fa2dd/ffffff,2867524,"Burn of first degree of male genital region, init encntr"
Protege,http://dummyimage.com/190x100.png/ff4444/ffffff,1775840,Unilateral post-traumatic osteoarthritis of knee
LTD Crown Victoria,http://dummyimage.com/135x100.png/cc0000/ffffff,1647677,"War operations involving gasoline bomb, milt, sequela"
Discovery,http://dummyimage.com/182x100.png/cc0000/ffffff,1174381,"Disp fx of coronoid pro of l ulna, 7thD"
Impreza,http://dummyimage.com/105x100.png/5fa2dd/ffffff,1366108,Adverse effect of other laxatives
Express 1500,http://dummyimage.com/120x100.png/dddddd/000000,1873034,"Displ oblique fx shaft of unsp ulna, 7thE"
S-Series,http://dummyimage.com/246x100.png/dddddd/000000,2558818,"Displ commnt fx shaft of ulna, unsp arm, 7thQ"
Traverse,http://dummyimage.com/195x100.png/dddddd/000000,1180496,"Other forms of scoliosis, thoracolumbar region"
Mystique,http://dummyimage.com/199x100.png/cc0000/ffffff,2420523,Displaced fracture of neck of other metacarpal bone
Golf,http://dummyimage.com/161x100.png/ff4444/ffffff,1034515,"Pigmentary glaucoma, right eye, indeterminate stage"
Focus,http://dummyimage.com/161x100.png/dddddd/000000,2066797,"Fall from burning bldg in uncontrolled fire, sequela"
Suburban 1500,http://dummyimage.com/249x100.png/ff4444/ffffff,1597153,"Lesion of plantar nerve, bilateral lower limbs"
Boxster,http://dummyimage.com/161x100.png/dddddd/000000,2669110,"Mtrcy driver injured in collision w hv veh in traf, init"
H3T,http://dummyimage.com/165x100.png/cc0000/ffffff,1198250,"Inj conjunctiva and corneal abrasion w/o fb, unsp eye, init"
Neon,http://dummyimage.com/117x100.png/ff4444/ffffff,2881662,"Injury of femoral nrv at hip and thi lev, right leg, sequela"
Jetta III,http://dummyimage.com/154x100.png/cc0000/ffffff,1123436,Cephalospor/oth beta-lactm antibiotics
Sentra,http://dummyimage.com/234x100.png/dddddd/000000,2509094,"Disp fx of shaft of unsp clavicle, subs for fx w routn heal"
C-Class,http://dummyimage.com/107x100.png/dddddd/000000,2325183,"Unsp fx upr end unsp tibia, 7thJ"
Ram 1500,http://dummyimage.com/196x100.png/5fa2dd/ffffff,1967717,Achilles tendinitis
XJ Series,http://dummyimage.com/141x100.png/cc0000/ffffff,1778000,"Corrosion of third degree of oth site of trunk, init encntr"
F-Series Super Duty,http://dummyimage.com/210x100.png/5fa2dd/ffffff,2552426,"Glaucoma secondary to eye inflam, bi, indeterminate stage"
Avenger,http://dummyimage.com/219x100.png/cc0000/ffffff,2063241,"Spontaneous rupture of extensor tendons, left forearm"
A8,http://dummyimage.com/243x100.png/dddddd/000000,2105074,Military operations
Grand Am,http://dummyimage.com/218x100.png/dddddd/000000,2595170,Displaced comminuted fracture of shaft of unspecified femur
G6,http://dummyimage.com/210x100.png/dddddd/000000,1975791,Hemorrhage of unspecified orbit
Sonoma,http://dummyimage.com/131x100.png/cc0000/ffffff,2770273,Pre-existing hyp chronic kidney disease comp childbirth
3500,http://dummyimage.com/122x100.png/dddddd/000000,2839471,"Unspecified subluxation of left foot, sequela"
3000GT,http://dummyimage.com/169x100.png/cc0000/ffffff,2447484,"Oth fx of lower end of r radius, init for opn fx type 3A/B/C"
